latitude,longitude,x,y,distance from center,rents,number of rents
55.67270603716306,12.540111005800147,5296573.4627688285,1811018.3407308871,4167.73319683496,"[519297, 1153562, 2640839, 4948528, 5177875, 7099649, 7690276, 7787976, 11597208, 12118801, 15659737, 18013633, 19108606, 26184089, 33210368, 34107669, 34241044, 35176228, 35297865, 35938872, 36751279, 37715720, 38713191, 43166638, 43949205, 45199036, 45529125, 46119900]",28
55.6768855931834,12.539341501863044,5297173.4627688285,1811018.3407308871,4253.234063627366,"[533060, 599604, 1111683, 1184515, 2015941, 3036617, 3977491, 3980777, 4024293, 4132033, 4241153, 4383034, 5616367, 5645130, 6192147, 9567975, 9861210, 16239323, 19148761, 25406376, 26742948, 29622304, 39376564, 41255511, 42686052, 43555310, 43799736, 45732158, 47040847, 47821137]",30
55.681064872022276,12.53857197852,5297773.4627688285,1811018.3407308871,4419.275958796888,"[355841, 5527261, 8640322, 13677697, 15868812, 18117636, 35511097]",7
55.685243873676654,12.537802435788512,5298373.4627688285,1811018.3407308871,4657.252408878024,"[560719, 735068, 1120682, 1593097, 1742116, 1917384, 2667266, 3327122, 4179112, 7585628, 7929987, 10138740, 13374418, 22082408, 23557590, 23818105, 25594533, 35828606, 36510716, 39849627, 40170068]",21
55.68942259814351,12.537032873686055,5298973.4627688285,1811018.3407308871,4956.813492557507,"[369967, 1232246, 2182607, 10505269, 16332202, 21011531, 26473492, 32521671, 33367749, 34427942, 38282155, 43332372, 43989295, 44238597]",14
55.69360104541986,12.536263292230116,5299573.4627688285,1811018.3407308871,5307.5418038862545,"[2192124, 2425258, 3417214, 16127015, 20854063, 25766954, 28431995, 28479670, 30167141, 34075457, 38149804, 44367443]",12
55.69777921550267,12.53549369143816,5300173.4627688285,1811018.3407308871,5700.000000000014,"[553888, 818170, 2642090, 3819981, 4530516, 5567723, 8501658, 18784462, 22009173, 24534235, 27955430, 29626001, 31579721, 34609737, 35436045, 36070031, 38406985, 38724941, 39249481, 40341229, 41165653, 43340973, 43880271]",23
55.64202885411449,12.549439395463153,5292073.4627688285,1811537.955973158,5556.077753235593,[44176545],1
55.64621050407821,12.548669812593715,5292673.4627688285,1811537.955973158,5117.616632769544,"[454064, 884518, 1143491, 2487302, 6726526, 7254481, 15046056, 15211189, 16419704, 20128974, 20811551, 20811771, 22854447, 23817549, 24073200, 24999085, 28073774, 28808408, 30160038, 30160047, 31346247, 32127762, 34612877, 34676024, 36580531, 36688058, 36761656, 36933054, 39197881, 39222057, 39744996, 40441970, 41753951, 41920314, 42878144, 43389243, 44255945, 46001608, 47106650, 47469577, 48163163]",41
55.65039187686789,12.547900210182704,5293273.4627688285,1811537.955973158,4714.870093650458,"[3586658, 4802435, 9972307, 11247498, 13725163, 15698932, 30160056, 32609989, 32854382, 33713473, 39515193, 46185205]",12
